system:index,NDSI,NDVI,NDWI,label,subregion,.geo
2_00000000000000000400_0,-0.16170835,0.1841004,-0.2023276,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000402_0,-0.1386948,0.18792866,-0.20775762,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000403_0,-0.1307201,0.134388,-0.14024678,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000409_0,-0.22887017,0.1837531,-0.20564087,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000040a_0,-0.16919866,0.1758585,-0.1866943,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000417_0,-0.20606247,0.16511783,-0.19237803,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000041e_0,-0.22464155,0.10733552,-0.15933853,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000041f_0,-0.14279659,0.14710127,-0.1675704,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000420_0,-0.111504406,0.09403128,-0.12656727,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000421_0,-0.18505163,0.17853123,-0.21394923,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000423_0,-0.21461485,0.1759311,-0.19836898,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000427_0,-0.16272561,0.14897676,-0.16021354,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000428_0,-0.092540324,0.12683557,-0.12620887,1,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
